"Transcript Cluster ID","GenX_100uM vs. GenX_UT","Gene Symbol","0.1uMFold Change","10uMFold Change"
"TC0100013881.hg.1",2.96,"GUCA2A",1.215677,1
"TC0100014060.hg.1",2.29,"ATPAF1",-1.191897,-1.01015
"TC0100014069.hg.1",2.5,"CYP4A11",-2.374938,1.722996
"TC0100014073.hg.1",1.42,"CYP4A27P",-1.051581,2.511484
"TC0100014152.hg.1",2.04,"FAF1",1.278295,1.897592
"TC0100014188.hg.1",2.22,"NRDC; MIR761",1.031769,1.031769
"TC0100014203.hg.1",-1.41,"ZCCHC11",-1.162749,-2.638431
"TC0100014251.hg.1",-2.07,"RP4-758J24.6",-1.573132,-1.573132
"TC0100014284.hg.1",2.09,"USP24",-1.126027,-1.596742
"TC0100014321.hg.1",-1.15,"C1orf168",-1.263145,-2.593715
"TC0100014323.hg.1",1.3,"C8B",2.136976,1.257258
"TC0100014331.hg.1",2.19,"HNRNPA1P6",-1.266222,-2.402807
"TC0100014349.hg.1",2.11,"JUN",-1.137503,-1.063257
"TC0100014405.hg.1",-1.16,"RNU6-371P",-2.275053,-2.15747
"TC0100014428.hg.1",-1.11,"ITGB3BP",-1.352107,-2.796961
"TC0100014436.hg.1",-1.59,"DLEU2_1",-1.929451,-2.164959
"TC0100014457.hg.1",2.11,"JAK1",1.192707,1.305154
"TC0100014460.hg.1",-2.07,"SLC2A3P2",1.075763,1.686357
"TC0100014471.hg.1",-1.47,"MIR101-1",2.333249,2.043384
"TC0100014509.hg.1",-1.39,"RP4-547N15.3",-2.129257,1.113908
"TC0100014511.hg.1",-2.75,"RNU4ATAC4P",1,1
"TC0100014534.hg.1",-1.25,"WLS",-1.212513,-2.010341
"TC0100014540.hg.1",1.55,"TCEB1P18",-2.086565,-1.722125
"TC0100014605.hg.1",-1.36,"LRRIQ3",-1.191856,2.308923
"TC0100014612.hg.1",1.04,"CRYZ",1.027409,-2.586391
"TC0100014614.hg.1",1.15,"RP11-510C10.4",-2.290242,-2.290242
"TC0100014638.hg.1",-1.28,"PIGK",1.281594,-2.104927
"TC0100014650.hg.1",-2.05,"ZZZ3",1.066031,-1.65148
"TC0100014663.hg.1",1.05,"RP11-386I14.4",-1.68191,-2.545908
"TC0100014685.hg.1",-1.6,"ADGRL4",2.238001,2.171707
"TC0100014762.hg.1",-1.28,"SSX2IP",-1.466411,-2.341024
"TC0100014768.hg.1",1.07,"MCOLN2",-1.988995,-2.027862
"TC0100014855.hg.1",2.05,"GBP4",-1.725315,-1.725315
"TC0100014895.hg.1",-1.33,"ZNF644",-1.315189,-2.91598
"TC0100014970.hg.1",-1.21,"MTCO3P21",1.894648,3.023501
"TC0100014989.hg.1",-2.11,"RP11-86H7.6",-1.650714,1
"TC0100015048.hg.1",2.36,"MIR548N",-1.056044,-5.112327
"TC0100015049.hg.1",2.12,"FRRS1",1.176695,-2.163774
"TC0100015086.hg.1",-2.07,"LOC101928370; RP4-575N6.4",1,1.236053
"TC0100015097.hg.1",-1.35,"RP11-202K23.1",-1.063065,2.367444
"TC0100015184.hg.1",-2.05,"RP5-1065J22.8",1,1.078398
"TC0100015206.hg.1",-2.07,"GNAT2",-1.491899,-1.138718
"TC0100015211.hg.1",1.7,"GSTM3",1.146892,-2.008223
"TC0100015234.hg.1",-1.06,"SLC16A4",-1.085598,-2.522738
"TC0100015253.hg.1",-1.26,"RP11-96K19.4",3.163606,-1.325623
"TC0100015310.hg.1",2.13,"SLC16A1",1.511845,2.250367
"TC0100015330.hg.1",-1.26,"PHTF1",-1.502255,-2.161047
"TC0100015337.hg.1",2.53,"AP4B1",1.06046,1.099601
"TC0100015400.hg.1",1.28,"MIR548AC",-1.037916,-2.525851
"TC0100015412.hg.1",-1.11,"RNA5SP55",2.104868,2.172039
"TC0100015467.hg.1",-2.22,"GAPDHP27",-1.263302,-1.480567
"TC0100015476.hg.1",2.4,"HMGCS2",-1.279039,2.272578
"TC0100015505.hg.1",-1.1,"RP11-439A17.9",1.595147,2.183391
"TC0100015544.hg.1",-1.53,"HIST2H2BB; HIST2H3PS2",-2.763467,-1.488593
"TC0100015572.hg.1",1.33,"SRGAP2B",1,-2.040128
"TC0100015580.hg.1",2.2,"NBPF20",-1.18191,-1.254681
